ID,Ашиглалтанд орсон он,Барилгын давхар,Барилгын явц,Гараж,Байршил,Огноо,Тагт,Талбай,Төлбөрийн нөхцөл,Хаалга,Хэдэн давхарт,Цонх,Цонхны тоо,Шал,Үнэ
1,2022,16,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,1 тагттай,232,Банкны лизингтэй,Төмөр,14,Вакум,6,Паркет,"10,029,310"
1,2022,22,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,3+ тагттай,232,Лизинггүй,Төмөр,14,Төмөр вакум,6,Паркет,"10,029,310"
1,2020,25,Ашиглалтад орсон,Байхгүй,СБД,1/1/2024,1 тагттай,175,Лизинггүй,Төмөр,12,Вакум,6,Паркет,"10,028,571"
1,2017,16,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,1 тагттай,366,Лизинггүй,Төмөр,14,Вакум,8,Паркет,"10,019,126"
1,2016,6,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,1 тагттай,230,Лизинггүй,Төмөр,3,Вакум,5,Паркет,"10,000,000"
1,2016,15,Ашиглалтад орсон,Байхгүй,СБД,1/1/2024,Тагтгүй,140,Банкны лизингтэй,Бүргэд,11,Вакум,4,Паркет,"10,000,000"
1,2019,14,Ашиглалтад орсон,Байхгүй,СБД,1/1/2024,1 тагттай,140,Банкны лизингтэй,Төмөр,6,Төмөр вакум,4,Паркет,"10,000,000"
1,1990,4,Ашиглалтад орсон,Байхгүй,БГД,1/1/2024,1 тагттай,40,Лизинггүй,Бүргэд,2,Вакум,4,Паркет,"10,000,000"
1,2018,12,Ашиглалтад орсон,Байгаа,СБД,1/1/2024,1 тагттай,121,Лизинггүй,Бүргэд,7,Вакум,5,Паркет,"10,000,000"
1,2018,12,Ашиглалтад орсон,Байгаа,СБД,1/1/2024,Тагтгүй,121,Лизинггүй,Бүргэд,7,Вакум,4,Паркет,"10,000,000"
1,2015,15,Ашиглалтад орсон,Байгаа,СБД,1/1/2024,Тагтгүй,121,Лизинггүй,Бүргэд,8,Вакум,5,Паркет,"10,000,000"
1,1980,4,Ашиглалтад орсон,Байхгүй,СБД,1/1/2024,1 тагттай,40,Лизинггүй,Бүргэд,2,Вакум,4,Паркет,"10,000,000"
1,2020,23,Ашиглалтад орсон,Байхгүй,БЗД,1/1/2024,1 тагттай,140,Лизинггүй,Бүргэд,13,Төмөр вакум,5,Паркет,"10,000,000"
1,2018,16,Ашиглалтад орсон,Байхгүй,БЗД,1/1/2024,Тагтгүй,140,Лизинггүй,Бүргэд,6,Вакум,4,Паркет,"10,000,000"
1,2020,16,Ашиглалтад орсон,Байгаа,БЗД,1/1/2024,1 тагттай,140,Лизинггүй,Бүргэд,6,Вакум,3,Паркет,"10,000,000"
1,2021,16,Ашиглалтад орсон,Байгаа,СБД,1/1/2024,Тагтгүй,140,Банкны лизингтэй,Бүргэд,6,Вакум,3,Паркет,"10,000,000"
1,2024,22,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,2 тагттай,166,Лизинггүй,Бүргэд,9,Вакум,6,Ламинат,"10,000,000"
1,2024,22,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,3+ тагттай,233,Банкны лизингтэй,Төмөр,14,Вакум,5,Паркет,"10,000,000"
1,2022,25,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,1 тагттай,87,Лизинггүй,Төмөр,25,Вакум,4,Паркет,"10,000,000"
1,2018,18,Ашиглалтад орсон,Байхгүй,СБД,1/1/2024,Тагтгүй,121,Лизинггүй,Төмөр вакум,7,Вакум,5,Паркет,"10,000,000"
1,2020,24,Ашиглалтад орсон,Байгаа,СБД,1/1/2024,Тагтгүй,121,Лизинггүй,Төмөр вакум,7,Төмөр вакум,3,Паркет,"9,917,355"
1,2024,14,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,3+ тагттай,232,Лизинггүй,Төмөр вакум,14,Вакум,5,Паркет,"9,913,793"
1,2024,22,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,2 тагттай,232,Банкны лизингтэй,Төмөр,14,Вакум,4,Паркет,"9,913,793"
1,2024,23,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,2 тагттай,232,Банкны лизингтэй,Төмөр,14,Вакум,6,Паркет,"9,913,793"
1,2023,18,Ашиглалтад орсон,Байхгүй,ХУД,1/1/2024,2 тагттай,232,Лизинггүй,Төмөр,13,Вакум,5,Паркет,"9,902,931"
1,2019,16,Ашиглалтад орсон,Байгаа,СБД,1/1/2024,Тагтгүй,207,Бартертай,Бүргэд,5,Вакум,5,Паркет,"9,900,000"
1,2021,25,Ашиглалтад орсон,Байгаа,СБД,1/1/2024,1 тагттай,87,Лизинггүй,Бүргэд,15,Вакум,5,Паркет,"9,900,000"
1,2019,16,Ашиглалтад орсон,Байхгүй,СБД,1/1/2024,Тагтгүй,121,Лизинггүй,Бүргэд,5,Вакум,3,Паркет,"9,900,000"
1,2022,23,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,3+ тагттай,232,Лизинггүй,Вакум,14,Модон вакум,7,Ламинат,"9,896,552"
1,2024,21,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,3+ тагттай,233,Лизинггүй,Бүргэд,15,Төмөр вакум,6,Паркет,"9,871,245"
1,2022,20,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,1 тагттай,62,Лизинггүй,Бүргэд,12,Төмөр вакум,3,Паркет,"9,838,710"
1,2022,16,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,1 тагттай,366,Лизинггүй,Төмөр,11,Вакум,8,Паркет,"9,836,066"
1,2019,16,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,3+ тагттай,366,Банкны лизингтэй,Вакум,12,Вакум,8,Паркет,"9,836,066"
